Full_Name,Age,Gender,Marital_Status,Number_of_Dependents,Employment_Type,Employment_Experience,Monthly_Income,Annual_Income,Credit_Score,Loan_Amount,Loan_Purpose,Loan_Term,Interest_Rate,Existing_Loans,Loan_Default
Applicant_31,62,Male,Single,1,Salaried,2,36400.0,436800.0,608,300000,Business,36,12.83,2,0
Applicant_32,48,Male,Single,0,Salaried,4,49100.0,589200.0,637,200000,Home,120,15.4,2,0
Applicant_33,36,Male,Single,3,Salaried,2,47700.0,572400.0,791,250000,Personal,24,14.58,1,0
Applicant_34,35,Female,Divorced,3,Salaried,12,56500.0,678000.0,536,250000,Home,180,10.51,1,0
Applicant_35,64,Male,Married,0,Freelancer,14,64800.0,777600.0,710,100000,Personal,12,15.1,3,0
Applicant_36,23,Other,Married,0,Salaried,0,48900.0,586800.0,594,500000,Home,12,17.15,4,1
Applicant_37,57,Male,Married,3,Freelancer,14,70100.0,841200.0,827,50000,Business,12,13.51,0,0
Applicant_38,27,Other,Married,1,Self-Employed,4,41800.0,501600.0,656,100000,Home,36,14.59,1,0
Applicant_39,41,Female,Divorced,0,Self-Employed,21,69300.0,831600.0,776,400000,Business,24,16.46,1,0
Applicant_40,29,Male,Married,1,Freelancer,10,34800.0,417600.0,573,400000,Personal,12,16.2,1,1
Applicant_41,59,Male,Married,1,Salaried,27,98600.0,1183200.0,525,100000,Personal,48,10.54,5,0
Applicant_42,38,Male,Married,0,Salaried,13,60300.0,723600.0,626,50000,Vehicle,48,17.9,1,0
Applicant_43,24,Male,Single,2,Freelancer,6,28500.0,342000.0,676,1000000,Home,24,6.83,3,1
Applicant_44,45,Female,Married,2,Salaried,2,37300.0,447600.0,598,50000,Education,240,17.85,2,0
Applicant_45,34,Male,Married,0,Salaried,9,47700.0,572400.0,725,50000,Home,36,9.33,0,0
Applicant_46,29,Male,Single,4,Unemployed,0,8000.0,96000.0,629,300000,Education,240,11.57,2,1
Applicant_47,46,Male,Married,2,Self-Employed,10,33800.0,405600.0,441,1000000,Vehicle,120,16.66,2,1
Applicant_48,22,Female,Married,0,Salaried,4,52500.0,630000.0,705,400000,Home,12,9.31,3,0
Applicant_49,40,Male,Divorced,0,Self-Employed,19,83100.0,997200.0,561,100000,Business,36,9.08,0,0
Applicant_50,48,Male,Single,0,Salaried,21,73300.0,879600.0,613,300000,Personal,120,13.9,0,0
Applicant_51,27,Male,Married,1,Unemployed,0,33800.0,405600.0,805,200000,Home,180,14.61,3,1
Applicant_52,64,Female,Married,0,Salaried,12,64300.0,771600.0,827,750000,Vehicle,12,6.59,1,0
Applicant_53,28,Female,Single,1,Self-Employed,2,15600.0,187200.0,592,500000,Vehicle,60,11.68,4,1
Applicant_54,55,Male,Married,0,Freelancer,20,60800.0,729600.0,707,500000,Vehicle,60,12.12,1,0
Applicant_55,34,Male,Single,2,Self-Employed,4,43900.0,526800.0,594,100000,Personal,36,9.63,0,0
Applicant_56,37,Male,Single,2,Freelancer,19,69700.0,836400.0,621,250000,Home,48,12.78,2,0
Applicant_57,56,Male,Single,1,Unemployed,0,5000.0,60000.0,589,100000,Education,36,8.28,1,1
Applicant_58,60,Female,Single,2,Self-Employed,20,59800.0,717600.0,477,150000,Personal,12,10.22,1,0
Applicant_59,24,Female,Married,4,Salaried,3,29600.0,355200.0,659,500000,Education,36,14.7,0,1
Applicant_60,22,Male,Single,2,Self-Employed,0,25200.0,302400.0,678,250000,Business,36,16.55,0,0
Applicant_61,26,Female,Married,1,Unemployed,0,5000.0,60000.0,582,200000,Business,240,13.28,0,1
Applicant_62,62,Male,Married,1,Salaried,3,29000.0,348000.0,758,250000,Home,12,7.36,2,0
Applicant_63,24,Female,Married,3,Self-Employed,4,32000.0,384000.0,606,500000,Personal,48,14.31,3,1
Applicant_64,49,Female,Divorced,0,Self-Employed,14,72900.0,874800.0,586,1000000,Vehicle,60,16.82,0,1
Applicant_65,38,Male,Married,1,Salaried,2,68700.0,824400.0,702,400000,Home,120,12.3,2,0
Applicant_66,46,Female,Married,2,Salaried,22,95300.0,1143600.0,495,300000,Education,12,12.18,4,1
Applicant_67,64,Male,Single,2,Unemployed,0,24600.0,295200.0,740,100000,Home,36,17.9,2,0
Applicant_68,54,Male,Married,2,Self-Employed,6,61600.0,739200.0,609,1000000,Education,24,13.82,3,1
Applicant_69,30,Male,Married,1,Salaried,7,66500.0,798000.0,748,250000,Education,36,15.77,0,0
Applicant_70,56,Male,Married,0,Freelancer,8,35900.0,430800.0,778,1000000,Home,120,13.93,0,1
Applicant_71,34,Female,Single,4,Self-Employed,2,41100.0,493200.0,714,750000,Home,36,9.04,1,1
Applicant_72,51,Female,Married,0,Freelancer,8,34700.0,416400.0,568,750000,Personal,24,9.77,2,1
Applicant_73,35,Female,Married,0,Salaried,3,42700.0,512400.0,524,750000,Education,120,14.16,2,1
Applicant_74,28,Female,Married,1,Unemployed,0,6000.0,72000.0,506,150000,Home,36,11.74,5,1
Applicant_75,34,Female,Married,3,Self-Employed,16,77700.0,932400.0,760,750000,Vehicle,24,11.15,2,0
Applicant_76,43,Male,Single,2,Self-Employed,24,89300.0,1071600.0,636,750000,Personal,180,6.76,1,0
Applicant_77,60,Male,Married,4,Salaried,5,47600.0,571200.0,590,250000,Home,240,16.67,3,0
Applicant_78,41,Male,Single,0,Salaried,15,70800.0,849600.0,636,300000,Vehicle,36,16.67,0,0
Applicant_79,36,Female,Single,1,Salaried,17,80500.0,966000.0,758,400000,Education,48,11.8,3,0
Applicant_80,38,Female,Married,0,Unemployed,0,15000.0,180000.0,727,1000000,Home,120,14.56,1,1
Applicant_81,44,Male,Single,3,Salaried,12,41200.0,494400.0,693,1000000,Vehicle,60,8.54,0,1
Applicant_82,46,Female,Single,1,Self-Employed,6,30800.0,369600.0,713,1000000,Home,48,12.29,0,1
Applicant_83,45,Female,Single,0,Salaried,2,60600.0,727200.0,668,300000,Vehicle,12,11.55,5,0
Applicant_84,61,Female,Married,2,Salaried,30,99100.0,1189200.0,680,250000,Business,12,14.05,2,0
Applicant_85,49,Male,Divorced,1,Salaried,5,43600.0,523200.0,672,50000,Education,36,11.9,0,0
Applicant_86,35,Male,Married,1,Freelancer,2,25000.0,300000.0,649,200000,Home,180,12.23,0,1
Applicant_87,21,Male,Married,3,Freelancer,0,21000.0,252000.0,725,500000,Home,12,9.9,1,1
Applicant_88,45,Male,Single,0,Unemployed,0,13400.0,160800.0,686,500000,Home,180,7.06,0,1
Applicant_89,27,Male,Married,0,Unemployed,0,5000.0,60000.0,561,300000,Vehicle,12,17.05,0,1
Applicant_90,29,Female,Married,0,Salaried,11,62400.0,748800.0,702,150000,Personal,180,6.64,3,0
Applicant_91,44,Male,Single,1,Freelancer,11,50700.0,608400.0,674,500000,Home,36,9.74,3,1
Applicant_92,21,Female,Single,0,Self-Employed,0,40900.0,490800.0,711,400000,Personal,36,11.65,5,1
Applicant_93,64,Male,Single,2,Freelancer,29,86300.0,1035600.0,639,750000,Home,60,10.17,0,0
Applicant_94,28,Female,Married,0,Salaried,5,57700.0,692400.0,731,150000,Home,24,12.85,4,0
Applicant_95,44,Male,Married,4,Freelancer,16,48400.0,580800.0,643,300000,Home,36,11.81,1,0
Applicant_96,31,Female,Married,0,Salaried,9,43900.0,526800.0,722,50000,Business,180,9.44,1,0
Applicant_97,37,Female,Single,0,Salaried,6,88900.0,1066800.0,604,500000,Home,60,7.51,0,0
Applicant_98,28,Male,Single,0,Salaried,3,41500.0,498000.0,611,100000,Personal,48,8.08,5,1
Applicant_99,55,Male,Married,2,Salaried,26,89200.0,1070400.0,710,250000,Home,12,12.09,5,0
Applicant_100,55,Female,Married,1,Salaried,6,62200.0,746400.0,616,300000,Personal,180,16.23,3,1
Applicant_101,53,Male,Single,3,Freelancer,22,92900.0,1114800.0,870,200000,Education,180,7.66,0,0
Applicant_102,25,Male,Single,2,Freelancer,2,20800.0,249600.0,706,750000,Home,24,14.29,3,1
Applicant_103,62,Male,Single,4,Salaried,7,39000.0,468000.0,652,150000,Personal,180,15.61,2,0
Applicant_104,59,Male,Single,2,Salaried,7,35400.0,424800.0,731,100000,Personal,240,9.68,0,0
Applicant_105,61,Female,Single,0,Salaried,36,135900.0,1630800.0,601,150000,Home,180,14.18,0,0
Applicant_106,48,Male,Divorced,3,Freelancer,4,17400.0,208800.0,742,250000,Business,180,14.4,2,1
Applicant_107,27,Female,Married,4,Salaried,6,51600.0,619200.0,739,50000,Education,120,14.64,3,0
Applicant_108,29,Female,Married,4,Self-Employed,5,30300.0,363600.0,775,1000000,Business,48,16.74,3,1
Applicant_109,28,Female,Married,0,Salaried,3,24300.0,291600.0,605,200000,Personal,240,11.08,1,1
Applicant_110,32,Female,Single,2,Self-Employed,1,32600.0,391200.0,527,50000,Vehicle,36,9.3,1,0
Applicant_111,54,Female,Single,0,Salaried,23,71900.0,862800.0,588,750000,Personal,48,12.75,2,0
Applicant_112,53,Male,Married,0,Salaried,1,31600.0,379200.0,621,150000,Home,120,7.22,3,1
Applicant_113,43,Female,Married,2,Salaried,15,100100.0,1201200.0,816,100000,Business,60,10.34,0,0
Applicant_114,44,Female,Single,4,Salaried,11,68400.0,820800.0,869,250000,Business,36,16.66,2,0
Applicant_115,57,Female,Married,2,Salaried,25,104000.0,1248000.0,684,50000,Vehicle,180,12.62,1,0
Applicant_116,55,Female,Married,3,Self-Employed,37,121400.0,1456800.0,650,1000000,Home,240,11.52,1,0
Applicant_117,64,Male,Single,0,Salaried,5,48500.0,582000.0,615,400000,Personal,180,9.56,0,0
Applicant_118,60,Male,Single,0,Salaried,22,77400.0,928800.0,732,750000,Personal,36,9.38,2,0
Applicant_119,42,Female,Married,2,Salaried,1,45700.0,548400.0,868,50000,Personal,24,9.22,0,0
Applicant_120,47,Male,Married,1,Freelancer,25,77500.0,930000.0,828,500000,Vehicle,60,16.04,4,0
Applicant_121,55,Female,Single,3,Self-Employed,13,52500.0,630000.0,763,500000,Personal,12,17.83,2,0
Applicant_122,21,Male,Single,1,Self-Employed,1,38900.0,466800.0,762,400000,Personal,48,12.65,5,1
Applicant_123,55,Male,Married,1,Salaried,37,103400.0,1240800.0,733,1000000,Education,120,7.42,0,0
Applicant_124,57,Male,Single,1,Salaried,31,99400.0,1192800.0,645,200000,Education,24,15.14,2,0
Applicant_125,34,Male,Married,0,Salaried,13,61000.0,732000.0,576,400000,Education,120,16.59,5,0
Applicant_126,23,Male,Married,3,Self-Employed,5,26000.0,312000.0,647,100000,Home,24,17.21,0,0
Applicant_127,21,Male,Single,1,Self-Employed,0,5000.0,60000.0,692,300000,Education,180,13.73,0,1
Applicant_128,25,Other,Single,1,Freelancer,7,24900.0,298800.0,504,250000,Home,240,12.33,2,1
Applicant_129,46,Female,Married,3,Freelancer,4,60100.0,721200.0,634,250000,Personal,240,13.64,1,0
Applicant_130,34,Male,Single,1,Salaried,12,59400.0,712800.0,567,500000,Personal,36,6.65,0,0
Applicant_131,59,Female,Single,3,Salaried,37,125600.0,1507200.0,751,50000,Business,48,14.04,5,0
Applicant_132,47,Female,Married,0,Salaried,21,50100.0,601200.0,595,500000,Personal,24,14.66,3,0
Applicant_133,29,Female,Single,0,Salaried,10,44900.0,538800.0,682,200000,Personal,36,14.8,1,0
Applicant_134,35,Male,Married,4,Unemployed,0,5000.0,60000.0,579,1000000,Home,36,12.98,0,1
Applicant_135,35,Female,Single,3,Salaried,10,57000.0,684000.0,809,300000,Vehicle,60,14.55,0,0
Applicant_136,46,Female,Married,1,Unemployed,0,41300.0,495600.0,479,300000,Home,36,13.85,0,1
Applicant_137,62,Male,Single,2,Self-Employed,15,71900.0,862800.0,697,50000,Vehicle,12,7.83,1,0
Applicant_138,33,Male,Divorced,4,Self-Employed,4,68400.0,820800.0,522,500000,Personal,180,16.83,1,0
Applicant_139,52,Female,Married,0,Salaried,1,38200.0,458400.0,599,200000,Home,240,13.66,0,0
Applicant_140,59,Male,Single,0,Self-Employed,9,73500.0,882000.0,670,750000,Education,60,14.87,4,1
Applicant_141,52,Female,Married,1,Self-Employed,18,102100.0,1225200.0,675,400000,Home,60,10.44,1,0
Applicant_142,24,Male,Married,0,Salaried,3,44400.0,532800.0,672,200000,Home,12,17.07,0,0
Applicant_143,50,Female,Married,0,Salaried,28,87900.0,1054800.0,665,50000,Education,12,12.28,2,0
Applicant_144,57,Female,Married,3,Salaried,24,68200.0,818400.0,585,750000,Personal,120,14.31,0,0
Applicant_145,43,Male,Married,0,Self-Employed,16,62400.0,748800.0,633,1000000,Home,180,17.45,2,1
Applicant_146,59,Male,Single,3,Salaried,12,65200.0,782400.0,653,300000,Personal,24,17.03,2,0
Applicant_147,35,Female,Married,1,Self-Employed,12,89500.0,1074000.0,669,300000,Business,240,13.92,5,0
Applicant_148,63,Female,Single,2,Self-Employed,15,45600.0,547200.0,643,50000,Personal,180,8.41,1,0
Applicant_149,49,Female,Married,2,Salaried,21,82900.0,994800.0,722,250000,Education,120,17.43,0,0
Applicant_150,56,Male,Married,1,Self-Employed,34,75800.0,909600.0,659,200000,Home,180,17.82,0,0
Applicant_151,33,Male,Single,0,Salaried,3,39600.0,475200.0,670,50000,Home,24,7.69,0,0
Applicant_152,52,Male,Single,0,Self-Employed,2,43700.0,524400.0,611,400000,Business,240,11.68,3,1
Applicant_153,27,Female,Married,2,Salaried,8,63700.0,764400.0,544,200000,Personal,120,12.8,2,0
Applicant_154,42,Male,Married,0,Salaried,7,62800.0,753600.0,665,150000,Personal,240,7.56,5,0
Applicant_155,48,Male,Married,0,Salaried,28,102000.0,1224000.0,770,100000,Home,12,8.68,1,0
Applicant_156,22,Female,Single,4,Freelancer,1,35700.0,428400.0,694,500000,Home,24,12.68,3,1
Applicant_157,62,Female,Married,4,Salaried,28,96700.0,1160400.0,568,250000,Business,12,17.58,0,0
Applicant_158,26,Male,Single,1,Salaried,4,32300.0,387600.0,731,1000000,Personal,240,6.82,4,1
Applicant_159,48,Male,Single,0,Salaried,2,16200.0,194400.0,616,750000,Vehicle,12,16.99,0,1
Applicant_160,48,Female,Single,2,Salaried,9,49800.0,597600.0,721,250000,Vehicle,120,16.83,3,1
Applicant_161,64,Female,Single,3,Freelancer,30,83000.0,996000.0,613,1000000,Business,36,16.36,1,0
Applicant_162,64,Male,Married,0,Self-Employed,10,73800.0,885600.0,685,50000,Education,24,10.84,0,0
Applicant_163,40,Female,Divorced,0,Unemployed,0,5000.0,60000.0,598,1000000,Home,60,12.14,2,1
Applicant_164,50,Female,Married,3,Salaried,16,69100.0,829200.0,600,250000,Education,60,11.14,4,0
Applicant_165,31,Male,Single,4,Salaried,7,59800.0,717600.0,493,250000,Vehicle,24,17.4,3,1
Applicant_166,48,Male,Married,2,Self-Employed,8,46900.0,562800.0,701,500000,Education,24,12.5,1,0
Applicant_167,45,Male,Married,0,Self-Employed,7,61200.0,734400.0,687,300000,Business,24,7.43,1,0
Applicant_168,59,Female,Single,1,Salaried,1,71700.0,860400.0,692,250000,Vehicle,24,9.65,0,0
Applicant_169,53,Male,Divorced,2,Self-Employed,3,73900.0,886800.0,677,500000,Business,240,11.81,3,1
Applicant_170,21,Female,Married,0,Freelancer,1,28500.0,342000.0,573,50000,Personal,36,17.47,0,0
Applicant_171,47,Female,Divorced,0,Salaried,15,75100.0,901200.0,746,250000,Home,12,13.04,4,0
Applicant_172,33,Male,Married,0,Self-Employed,8,74700.0,896400.0,749,150000,Home,240,14.5,2,0
Applicant_173,61,Female,Married,1,Salaried,40,117800.0,1413600.0,571,250000,Personal,24,7.52,2,0
Applicant_174,23,Female,Single,1,Unemployed,0,15200.0,182400.0,703,150000,Vehicle,120,16.59,3,1
Applicant_175,59,Male,Married,3,Self-Employed,20,58000.0,696000.0,737,200000,Vehicle,240,12.7,2,0
Applicant_176,26,Male,Single,2,Salaried,4,43300.0,519600.0,602,750000,Home,24,17.09,1,1
Applicant_177,28,Male,Married,3,Salaried,9,75300.0,903600.0,620,100000,Education,12,11.62,1,0
Applicant_178,47,Female,Married,3,Unemployed,0,5000.0,60000.0,703,1000000,Personal,12,14.36,0,1
Applicant_179,29,Other,Married,0,Self-Employed,2,37100.0,445200.0,498,50000,Personal,12,11.91,1,0
Applicant_180,57,Male,Married,1,Salaried,13,42400.0,508800.0,541,200000,Home,240,8.14,0,0
Applicant_181,53,Female,Married,1,Self-Employed,14,93100.0,1117200.0,551,500000,Education,120,9.63,2,0
Applicant_182,62,Male,Single,0,Self-Employed,5,63900.0,766800.0,470,250000,Vehicle,48,7.27,0,0
Applicant_183,64,Male,Married,3,Salaried,15,72800.0,873600.0,758,750000,Vehicle,60,11.56,3,0
Applicant_184,44,Male,Married,0,Salaried,22,91600.0,1099200.0,451,1000000,Personal,240,13.97,2,1
Applicant_185,35,Male,Married,1,Self-Employed,9,58900.0,706800.0,684,150000,Personal,120,9.3,4,0
Applicant_186,52,Male,Married,2,Salaried,11,82800.0,993600.0,731,750000,Home,24,12.14,0,0
Applicant_187,52,Female,Single,1,Salaried,18,68200.0,818400.0,620,50000,Business,36,11.78,3,0
Applicant_188,44,Male,Single,2,Freelancer,11,58000.0,696000.0,583,100000,Home,36,12.63,4,0
Applicant_189,61,Female,Divorced,1,Self-Employed,12,75200.0,902400.0,673,750000,Home,180,8.62,0,0
Applicant_190,32,Male,Married,0,Salaried,0,58200.0,698400.0,650,750000,Home,12,12.64,5,1
Applicant_191,59,Male,Single,0,Salaried,1,8100.0,97200.0,750,1000000,Education,36,10.69,1,1
Applicant_192,22,Male,Married,3,Self-Employed,3,32000.0,384000.0,387,250000,Vehicle,60,9.79,0,1
Applicant_193,23,Female,Divorced,0,Self-Employed,0,19700.0,236400.0,558,1000000,Vehicle,240,13.24,1,1
Applicant_194,57,Male,Single,0,Self-Employed,20,77200.0,926400.0,706,200000,Personal,24,8.2,0,0
Applicant_195,37,Male,Married,1,Salaried,7,23800.0,285600.0,655,750000,Business,240,16.86,4,1
Applicant_196,22,Other,Divorced,0,Self-Employed,4,12300.0,147600.0,725,1000000,Education,180,17.25,0,1
Applicant_197,22,Male,Divorced,1,Unemployed,0,37600.0,451200.0,676,100000,Personal,36,14.1,1,1
Applicant_198,48,Male,Divorced,2,Salaried,28,105300.0,1263600.0,636,150000,Business,60,9.99,2,0
Applicant_199,43,Female,Married,2,Salaried,18,77800.0,933600.0,619,500000,Personal,60,13.7,3,0
Applicant_200,57,Male,Married,2,Freelancer,34,98500.0,1182000.0,882,50000,Home,48,13.42,0,0
Applicant_201,52,Male,Single,0,Salaried,25,92200.0,1106400.0,803,100000,Business,48,11.0,2,0
Applicant_202,53,Male,Single,1,Salaried,10,75000.0,900000.0,699,250000,Home,36,9.8,0,0
Applicant_203,21,Male,Married,0,Salaried,3,36500.0,438000.0,657,400000,Home,60,8.44,2,0
Applicant_204,39,Male,Married,0,Salaried,2,46800.0,561600.0,703,1000000,Personal,12,9.0,4,1
Applicant_205,22,Male,Single,1,Salaried,3,49400.0,592800.0,732,750000,Home,48,14.01,0,1
Applicant_206,64,Male,Married,0,Salaried,2,28300.0,339600.0,691,150000,Personal,60,16.69,0,0
Applicant_207,46,Male,Single,2,Freelancer,12,68200.0,818400.0,574,200000,Personal,48,10.93,2,0
Applicant_208,52,Female,Married,2,Self-Employed,11,50300.0,603600.0,828,1000000,Education,24,7.9,0,0
Applicant_209,26,Male,Single,3,Self-Employed,5,60300.0,723600.0,674,50000,Vehicle,180,6.65,0,0
Applicant_210,52,Male,Married,2,Salaried,28,97700.0,1172400.0,851,50000,Business,60,11.17,0,0
Applicant_211,24,Female,Married,0,Self-Employed,6,71500.0,858000.0,668,50000,Home,60,9.17,1,0
Applicant_212,31,Female,Single,1,Salaried,3,30400.0,364800.0,625,200000,Business,120,10.21,0,0
Applicant_213,37,Male,Divorced,0,Freelancer,18,44700.0,536400.0,788,750000,Education,24,9.28,1,0
Applicant_214,58,Female,Married,1,Freelancer,18,47400.0,568800.0,680,500000,Business,120,14.14,1,0
Applicant_215,44,Male,Single,0,Self-Employed,26,89000.0,1068000.0,663,200000,Business,48,13.84,2,0
Applicant_216,25,Male,Single,0,Self-Employed,2,62100.0,745200.0,529,500000,Home,240,16.99,4,1
Applicant_217,54,Female,Single,1,Freelancer,26,100900.0,1210800.0,716,400000,Personal,24,14.55,1,0
Applicant_218,26,Male,Single,2,Self-Employed,2,5000.0,60000.0,600,300000,Vehicle,180,8.4,1,1
Applicant_219,42,Male,Married,2,Salaried,2,47700.0,572400.0,605,1000000,Education,36,15.14,0,1
Applicant_220,31,Male,Married,1,Salaried,7,5800.0,69600.0,600,100000,Home,12,8.58,2,1
Applicant_221,36,Male,Married,1,Unemployed,0,16900.0,202800.0,693,150000,Home,48,12.92,4,1
Applicant_222,53,Male,Married,1,Salaried,6,68800.0,825600.0,496,200000,Home,180,7.39,3,1
Applicant_223,29,Female,Single,2,Freelancer,2,28400.0,340800.0,628,400000,Home,60,7.04,0,1
Applicant_224,26,Male,Single,0,Salaried,7,55300.0,663600.0,748,500000,Education,36,11.84,4,1
Applicant_225,36,Female,Married,2,Salaried,2,45100.0,541200.0,525,500000,Education,48,7.71,2,1
Applicant_226,49,Female,Single,2,Self-Employed,20,63200.0,758400.0,667,200000,Home,180,10.03,0,0
Applicant_227,23,Female,Single,0,Salaried,0,46500.0,558000.0,586,750000,Personal,180,10.4,2,1
Applicant_228,40,Female,Married,0,Self-Employed,11,53500.0,642000.0,609,500000,Vehicle,240,15.35,0,0
Applicant_229,56,Female,Single,0,Self-Employed,5,59000.0,708000.0,815,250000,Vehicle,12,10.33,1,0
Applicant_230,39,Male,Married,1,Self-Employed,6,45300.0,543600.0,484,150000,Education,60,12.18,1,0
Applicant_231,46,Male,Single,2,Self-Employed,1,24100.0,289200.0,726,100000,Business,24,15.38,0,0
Applicant_232,23,Male,Divorced,1,Salaried,1,19000.0,228000.0,602,750000,Vehicle,12,8.86,3,1
Applicant_233,39,Female,Married,1,Salaried,14,40000.0,480000.0,597,50000,Vehicle,120,15.76,3,0
Applicant_234,40,Female,Married,4,Salaried,14,87700.0,1052400.0,538,400000,Vehicle,48,16.07,0,0
Applicant_235,52,Male,Single,0,Salaried,31,95100.0,1141200.0,725,400000,Business,60,17.87,0,0
Applicant_236,27,Male,Married,0,Unemployed,0,10100.0,121200.0,630,50000,Education,48,11.61,1,1
Applicant_237,61,Male,Married,1,Self-Employed,17,95700.0,1148400.0,618,400000,Home,12,10.76,3,0
Applicant_238,53,Female,Married,2,Self-Employed,30,86600.0,1039200.0,660,50000,Personal,180,14.57,0,0
Applicant_239,60,Male,Married,2,Self-Employed,28,81600.0,979200.0,632,100000,Home,60,7.17,3,0
Applicant_240,59,Female,Married,1,Salaried,14,66000.0,792000.0,449,750000,Vehicle,180,6.96,4,1
Applicant_241,38,Other,Single,4,Self-Employed,5,45400.0,544800.0,600,500000,Education,12,10.35,2,1
Applicant_242,60,Male,Married,2,Freelancer,40,133300.0,1599600.0,739,750000,Vehicle,48,14.89,0,0
Applicant_243,21,Male,Married,0,Salaried,2,67500.0,810000.0,499,750000,Business,120,7.84,0,1
Applicant_244,31,Male,Married,2,Freelancer,6,46300.0,555600.0,541,200000,Personal,60,13.81,0,0
Applicant_245,48,Male,Single,0,Self-Employed,2,60700.0,728400.0,607,250000,Home,240,9.6,0,0
Applicant_246,45,Male,Married,2,Salaried,18,73300.0,879600.0,577,1000000,Home,180,13.99,3,1
Applicant_247,43,Male,Married,0,Self-Employed,0,39500.0,474000.0,647,400000,Personal,180,11.76,0,1
Applicant_248,51,Female,Single,2,Salaried,23,81500.0,978000.0,540,300000,Business,180,7.82,0,0
Applicant_249,50,Male,Single,1,Salaried,10,40600.0,487200.0,611,750000,Vehicle,180,9.34,1,1
Applicant_250,62,Male,Single,3,Freelancer,29,101100.0,1213200.0,645,100000,Home,240,9.03,4,0
Applicant_251,55,Female,Married,1,Freelancer,10,53000.0,636000.0,714,500000,Home,60,8.39,0,0
Applicant_252,27,Female,Single,2,Freelancer,6,37300.0,447600.0,774,100000,Home,180,11.89,3,0
Applicant_253,36,Male,Married,0,Freelancer,0,25000.0,300000.0,623,100000,Education,180,17.48,2,0
Applicant_254,46,Female,Married,3,Unemployed,0,5000.0,60000.0,838,150000,Business,60,14.07,2,1
Applicant_255,22,Male,Married,2,Unemployed,0,5000.0,60000.0,631,200000,Home,48,16.11,3,1
